Temps;pxt;pyt;pzt;rxt;ryt;rzt;pxb1;pyb1;pzb1;pxb2;pyb2;pzb2;pxb3;pyb3;pzb3;pxb4;pyb4;pzb4rxb1;ryb1;rzb1;rxb2;ryb2;rzb2;rxb3;ryb3;rzb3;rxb4;ryb4;rzb4
0:1;-4.049895;0.9705529;3.444899;4.134921;357.0355;359.734;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.050197;0.9707979;3.444661;3.805914;356.7257;359.8628;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.050932;0.9713879;3.444659;3.433446;356.0807;0.07152361;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.051318;0.9717116;3.444549;3.324779;355.7558;0.2181222;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.052315;0.9726726;3.444176;2.72578;354.756;0.475969;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.052315;0.9726726;3.444176;2.72578;354.756;0.475969;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.052989;0.9732314;3.444028;2.370907;354.2366;0.6019086;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.053253;0.9734571;3.443915;2.174771;353.985;0.655786;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.053507;0.9738269;3.443846;1.998351;353.7388;0.681583;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.054122;0.9743484;3.443837;1.550588;353.3292;0.7232552;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.05444;0.9746829;3.443806;1.320095;353.1006;0.7329592;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.055549;0.9757249;3.44379;0.5631396;352.2202;0.8680456;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.055549;0.9757249;3.44379;0.5631396;352.2202;0.8680456;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.05659;0.9763326;3.443808;0.111785;351.3533;0.9667359;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.057246;0.9765902;3.443773;359.8825;350.8452;1.034238;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.058854;0.9774412;3.443736;359.2667;349.4404;1.280048;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.059917;0.9778717;3.443625;358.9531;348.6024;1.408917;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.060974;0.9779853;3.443479;358.7131;347.6378;1.587306;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.064663;0.978771;3.442508;358.2199;344.3872;2.206629;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.064663;0.978771;3.442508;358.2199;344.3872;2.206629;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.067549;0.9792395;3.441835;357.7837;341.9684;2.767931;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.069077;0.9794045;3.441322;357.6879;340.6685;3.073088;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.072129;0.9798772;3.440266;357.6702;338.0397;3.893188;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.073636;0.9801172;3.439609;357.5152;336.7877;4.235777;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.075227;0.9804366;3.438951;357.401;335.5604;4.639988;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.07812;0.9804913;3.437755;357.031;333.2139;5.474115;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.079496;0.9807444;3.436958;356.8788;332.0952;5.694464;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.082511;0.9809049;3.435587;356.3787;330.1117;5.974101;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.083982;0.9808065;3.43475;356.2032;329.1667;6.177067;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.086573;0.9807089;3.433253;356.1407;327.38;6.77688;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.087491;0.9805384;3.432441;356.1661;326.5185;7.074113;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.089217;0.9805609;3.431125;356.0794;325.172;7.620684;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
0:1;-4.090312;0.9804313;3.430549;355.9242;324.6296;7.661737;-3;1.13;4.1;-3.4;1.13;4.1;-3.8;1.13;4.1;-4.2;1.13;4.1270;0;0;270;0;0;270;0;0;270;0;0
